,index,tweet,label
1111,11112,Oh you dont like that Im Pro-choice.  Pftt. Dont try to force me to be pro-life. Fuck off   #sorrynotsorry #SemST,0
1112,11113,Watch out for censorship in your news and media! #politicalrevolution #immigration #RedNationRising #Constitution #CorruptMedia #SemST,1
1113,11114,"Not sure where I stand on God and religion.  Still, don't need to be a Christian or religious to be against abortion.  #evil #SemST",2
1114,11115,"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy. #SemST",0
1115,11116,To run outside? To run inside? #SemST,1
1116,11117,Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,0
1117,11118,People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice #SemST,0
1118,11119,"You can't give the ""death penalty"" to something not living sentient or autonomous #WarOnWomen #roe42 #reprohealth #SemST",0
1119,11120,@knowj @kalenjordan @benmarks @MageTalk not ashamed to say it's me. I'm not in favor of enc itself as not banning enc modules. #SemST,1
1120,11121,"@ShowTruth if they made it illegal, people would use coat hangers, and your photos would really be messed up. #letdoctorsdoit #SemST",0
1121,11122,Abortion is genocide - I don't think you know what genocide means.  #ygk #SemST,2
1122,11123,"Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of ""morality"". #SemST",0
1123,11124,Pro-life laws only effect women so anti choicers are fine with these laws because the laws are only hurting are females  #SemST,0
1124,11125,Anti-choice laws are entirely men controlling women  #SemST,0
1125,11126,"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more #SemST",0
1126,11127,What about in cases of rape #SemST,0
1127,11128,Only one can have bodily autonomy #SemST,0
1128,11129,Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men #SemST,0
1129,11130,"Like 96% of antis don't care about breathing viable persons, and 100% care about embryos more #SemST",0
1130,11131,Anti choice laws are sexist because they ignore the fact that men abandon their pregnant partners & those men face no punishment  #SemST,0
1131,11132,This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored #SemST,0
1132,11133,"Woman's Heartbreaking Letter to Father of Baby She Aborted: ""I'm So Very Sorry - LifeNews. Please pray for the men hurt by abortion #SemST",2
1133,11134,"@kingstonpolice @ShowTruth ""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? #SemST",1
1134,11135,"We declare that all people have worth and value even if the whole world calls them ""unwanted""! #SemST",2
1135,11136,"I'm kind of scared for the elderly in our country. In a few years, we'll be aborting them too. #americathesocialist #SemST",2
1136,11137,FYI: Whoopi Goldberg is a feminist hero for her six abortions. #WomenAgainstFeminism #SemST,2
1137,11138,Obama Administration sends 5.6 million dollars to #SemST,1
1138,11139,Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb #MiddleAmerica #SemST,2
1139,11140,@ShowTruth YOU CAN'T HANDLE THE TRUTH! People will always do it no matter the laws. #letdoctorsdoit #SemST,0
1140,11141,@XaviPereda @HillaryClinton sorry Hilary but I'm #southern and don't bleed that #rainbow #BleedRed #america #southwillriseagain #SemST,2
1141,11142,"Why do people think it's ok to get an abortion...  What the fuck is wrong with you? What if your mom aborted you, you sick fuck! #SemST",2
1142,11143,@ShowTruth Get out of my city. #ygk #SemST,1
1143,11144,".@JessieLosch There is no such thing as a ""safe & alive"" abortion because every abortion that goes as intended leaves >= 1 dead #SemST",2
1144,11145,@SenSchumer You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? #tcot #SemST,2
1145,11146,@AndySwan lol.  I don't know about that.  #schoolprayer #GovtEndorsementOfHeterosexualMarriage #SemST,1
1146,11147,@JonathaASwift @TomAdams9999 They  are BOTH alive & human from conception Just earlier phase of life's continuum! @chooseliferacer #SemST,2
1147,11148,"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen #SemST",0
1148,11149,"C7German: Heaven is our Goal,  life is our conquest  #socialmedia #technology #catholic #SemST",2
1149,11150,@NBCLA #SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like #SemST,2
1150,11151,Pro-Choice=Pro-Life. Anti-Choice=Anti-Life. Don't play righteous when you're advocating the endangerment of women. #womensrights #SemST,0
1151,11152,It is not Pro-Life if you ignore life of the pregnant woman; that includes physical/mental health.IsProLife #SemST,0
1152,11153,@marcmaron @amyschumer @JuddApatow Are you a triceratops or tricerabottom? #arethosehornsyourewearing #SemST,1
1153,11154,@paigeymadisonn: 12. something you hate.  People who don't believe abortion should be kept safe and sterile. #SemST,0
1154,11155,Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one? #SemST,0
1155,11156,"@Cody_Fulk92 @ntfem @brettzawesome Actually, child-murder is far worse these days. We live in more savage times. #SemST",2
1156,11157,.@JohnTory since when did Toronto become a weak city? Bullied by stone-age cab companies that block traffic illegally. #TO4Uber #SemST,1
1157,11158,I #DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6 #wherestheFP #SemST,0
1158,11159,Looking forward to the protest today. I can't be there long but I hope my signs will. #Kingston #protesters #SemST,2
1159,11160,Our #TruthTour continues in #CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! #ShowTheTruth #onpoli #SemST,2
1160,11161,It very simple .. Let women choose.. #repealthe8th #notacriminal #SemST,0
1161,11162,I cannot believe there are still people in this century who opposed to women having rights over their own bodies! #disgusted #SemST,0
1162,11163,Societies that put to death the weak and vulnerable are more violent. #Nazis #streetgangs #Communists #AssistedSuicide #SemST,2
1163,11164,RT @GuyForChrist: God is the author of life and nobody has the right to take it. #SemST,2
1164,11165,@WomanMDsGuide I thought they wanted less unwed mommas and less abortion. #confused #tcot #feminism #SemST,2
1165,11166,"The teen pregnancy rate has declined 51 percent, and the teen birth rate is down 57 percent. #SemST",1
1166,11167,"We need more public funding for birth control, condoms and abortions, especially abortions. #budget2015 #Election2016 #SemST",0
1167,11168,I will visit PEI when all women can get a lawful medical abortion on the island. #Cdnpoli #peipoli #womensrights #SemST,0
1168,11169,PRAISE REPORT Two babies savedOne in Dallas TX&in Charlotte NC  If we put forth effort with prayer- miracle's happen  #SemST,2
1169,11170,@WBCBowie NY pastors need to call their State Senators and stop this barbaric bill!istorture #SemST,2
1170,11171,I support @GovMikeHuckabee because I want to see Planned Parenthood gone. #SemST,2
1171,11172,@BernieSanders if men were the ones that got preganant this would be a non issue in America #Bernie2016 #WomensRights #Solidarity #SemST,0
1172,11173,"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. #GodWins #SemST",2
1173,11174,Our #TruthTour cont' in the @CityOttawa as we show the humanity of the unborn & inhumanity of abortion! #cdnpoli #Ottawa #onpoli #SemST,2
1174,11175,Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest #SemST,0
1175,11176,So Ariana Grande hates America & Americans? She's not alone #SCOTUS #HILLARY #OBAMA #DEMOCRATS #ACLU #NAACP #HAMAS #ISIS #SemST,1
1176,11177,We must love our neighbor as being made in the image of God and as an object of His love. ~ Saint Vincent de Paul #SemST,2
1177,11178,@micknugent What nonsense is this colleague of yours writing about?? #everylifematters #SemST,2
1178,11179,@notmuchelse & purely physical enjoyment with no responsibility attached #SemST,1
1179,11180,@eilistweets  Surprised? A poll sponsored by biased @AmnestyIreland was always going to give a pro-abortion result #repealthe8th #SemST,2
1180,11181,@notmuchelse And accepting with love any children arising from Union of marriage or at least taking responsibility for life created #SemST,2
1181,11182,Living in a pub isnt all that good when your friends turn into alcoholics @jbrowne_94  #refresher #smurf #noonewillunderstand #SemST,1
1182,11183,I can think of a thousand things more important than Keith Olbermann. #SanctuaryCities #IRSscandal #Benghazi #Bergdahl #USDebt #SemST,1
1183,11184,@notmuchelse Then make sure Udon't get pregnant. And don't KILL your child if you do! You are the mom RESPONSIBLE 4child's life! #SemST,2
1184,11185,Women have outgrown the common housewife stigma long ago #SemST,1
1185,11186,@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary #SemST,2
1186,11187,Pro Choice? Just choose to kill yourself after your baby is born. #SemST,2
1187,11188,@mistyaiya Just saw your review of @chadkultgen's book at Amazon. I have to say I totally agree with you. A sick marketing ploy. #SemST,1
1188,11189,"Basically this documentary is ""You kill babies so we're going to kill you"" Lol the irony of pro-lifers. #aftertiller #SemST",0
1189,11190,#populationcontrol = controlling the incoming generations. that's why there's #demographicwinter  #epicfail  #philippines #rhlaw. #SemST,2
1190,11191,@bradfischetti just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance #LFO #SemST,2
1191,11192,'Snarck' - a snarky hack who puts down ordinary folk who dares question their pontifical commentaries  #SemST,1
1192,11193,Dear America: If only a 3D ultrasound picture could evoke the same emotional response. #lifeisprecious #SemST,2
1193,11194,There weren't any volunteers outside abortion clinic when she had her abortion bcs there aren't enough of us. Can you join us? 2/2 #SemST,2
1194,11195,#HDR - top set up in the Warm up area @HuddsCriterium ... Chilling and chatting with @GabzCullaigh before the racing. #Topriders #SemST,1
1195,11196,"@BuhayIpaglaban So you've blown right past the whole ""women stopped dying after RvW"" thing. #prolifelie #hashtagitall #SemST",2
1196,11197,@GBPstaff 1999 Meet the Press admitted to being Very Pro-Choice even with late term & Partial Birth Abortions.  He's sick!  #SemST,2
1197,11198,For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST,2
1198,11199,@notmuchelse It is no less your child before or after birth. One continuum of life. #SemST,2
1199,11200,These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling #theyfeelpain #SemST,2
1200,11201,PRAYERS FOR BABIES Three babies in urgent need of prayer and intervention in Dallas TX  And another in Montgomery AL  #SemST,2
1201,11202,@notmuchelse NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. #SemST,2
1202,11203,FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis #theyfeelpain #SemST,2
1203,11204,",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims? #repealthe8th #SemST",2
1204,11205,asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids #SemST,2
1205,11206,Congrats to my friends at @SBAList and @WRTL for their commitment in getting Pain-Capable Act passed. #wiright #theyfeelpain #SemST,2
1206,11207,"How can someone be calling for abortion in a speech and end it with ""God bless America""? #righttolife #SemST",2
1207,11208,@HillaryClinton #gop as whole party has backwards ideas on #immigration #votingrights #womensright #civilrights. #healthcare #dapa #SemST,2
1208,11209,"@irritatedwoman I don't know about you, but I didn't vote for the GOP to capitulate to the Dems. #AllLivesMatter #SemST",2
1209,11210,Was at the planned parenthood protest in #fitchburg today with the image of Our Lady of America #catholic #SemST,2
1210,11211,@notmuchelse Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! @chooseliferacer #SemST,2
1211,11212,I am Nazi Holocaust survivor and I say that Abortion is America's Holocaust! -Sibylle Heidrich von Campe #holocaust #SemST,2
1212,11213,@FeministSpag @1310edhand @1310news we do care about the hurt inflicted upon preborn children through #abortion. #TruthTour #Ottawa #SemST,2
1213,11214,@JaxLeSigh Evidence proves that morbidity & mortality rates of legal abortion r a lot higher dan carrying pregnancy 2 term #teens #SemST,2
1214,11215,RT DavidHarris707: MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter #SemST,2
1215,11216,MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter #SemST,2
1216,11217,"Lord Jesus,Touch my life with your saving power, heal and restore me to      fullnessof life. #SemST",2
1217,11218,"I'm against abortion, gay marriage, AND Donald Trump for President. #gaymarriage #DonaldTrump #SemST",2
1218,11219,"Hail (Mary), full of grace! The Lord is with you. (Luke 1:28) #SemST",2
1219,11220,you can't say you support women's rights but be against abortion #SemST,2
1220,11221,"Natural family planning isn't ""planning"" at all since it just doesn't work. #SemST",2
1221,11222,"RT @RandForeman: It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. #SemST",2
1222,11223,#ChildrensCentre's in the #UK have stay & play sessions for very young / single parents  #childcare #parenting #SemST,2
1223,11224,@LibertyBleeds every one in Congress should attend an abortion procedure especially partial birth that they VOTE FOR #ccot #tcot #SemST,2
1224,11225,@RickSantorum: I don't *believe* life begins at conception--I *know* life begins at conception. #nrlc2015 #SemST,2
1225,11226,"Before I formed you in the womb I knew you, before you were born I set you apart - Jeremiah 1:5 #Godislove #youareloved #SemST",2
1226,11227,So the #Democrats tore down their OWN #ConfederateFlag NOW if they get rid of THEIR #KKK #blackpanthers #alsharpton #hate #SemST,1
1227,11228,@DaRealMonieLove or these dumb anti-abortion #showthetruth assholes who sit on Canadian streets with inaccurate disturbing pics! #SemST,0
1228,11229,"I was an accidental baby and as far as I know, my parents were happy to have me. #thanksmom #SemST",2
1229,11230,"Fallopians 3:16 ""Not your fuckin' pregnancy - not your fuckin' business!""  #SemST",0
1230,11231,Babies are humans to support the prolife movement #SemST,2
1231,11232,@ShowTruth You're truly unwelcome here. Please leave.  #ygk #SemST,1
1232,11233,Being a Democrat is never having to say you're sorry... #Slavery #Segregation #KKK #SemST,1
1233,11234,@ubiquity75 @Aaron_Hamm well said. Men are playing political football with women's right to have control over our bodies. #fail #SemST,0
1234,11235,"@toby_dorena Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. #SemST",0
1235,11236,@FactsVsOpinion these poor souls won't be anything in the future @PPact encouraged women to murder babies. #BlackLivesMatter #SemST,2
1236,11237,"In Turkey at ze momento, just got internet and started reading @BarrettWeed 's tweets, literally just KILLING IT!!  #SemST",1
1237,11238,@JujuChangABC abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape #SemST,0
1238,11239,@laurawrpie protect them by informing #HIV s acquired by having sex even wen using #condoms HIGH #RISK of acquiring it #teens #SemST,1
1239,11240,@laurawrpie what do u call #teens hu got #pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? #SemST,2
1240,11241,@DrottM I'm curious Mary are you a meat eater and an animal hide wearer? #SemST,1
1241,11242,@gaz_dance I'm good like this. I've always been #SemST,1
1242,11243,The beauty of the morning seems ruined knowing abortion clinics open soon. Another day of 900+ lives lost to @PPact & friends.      #SemST,2
1243,11244,"@cbrangel so, you support the choice of wether or not you'd like to kill someone? Would you kill a born baby? #SemST",2
1244,11245,@MetalheadMonty @tom_six I followed him before I watched human centipede 3.....i now hope never makes another film again #SemST,1
1245,11246,"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 #comequicklyLordJesus #SemST",2
1246,11247,Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew @TheKateMulgrew (Red on #OITNB ) #SemST,2
1247,11248,"@ravensymone U refer to ""WE"" which =""YOU"" & a minority of idiots who support #suicide #murder  #death #iLLegalAliens #RavenSymone #SemST",2
1248,11249,Al Robertson's mom #DuckDynasty  chose life as an unwed 16 year old. #SemST,2
